       Z A ab        |   abs_cyburt_sens    |   rel_cyburt_sens    | 
===============================================================

      15 8 ag        | 1.0054438695200244e+39 |  92.42761532021426   | 
      30 16 ap       | 6.982031742254152e+38 |  64.18384592017642   | 
      14 8 ap        | 5.8675709931749815e+38 |  53.938923003242174  | 
      23 13 pg       | 4.8664089298829886e+38 |  44.735522906594476  | 
      22 12 ap       | 4.188666053827855e+38 |  38.505224057197395  | 
      29 16 ap       | 4.148600461429014e+38 |  38.13691238171974   | 
      15 8 ag        | 3.8533847546470174e+38 |  35.42307776497905   | 
      23 13 pg       | 3.7341585272625035e+38 |  34.32706472886229   | 
      14 8 ap        | 3.454235383840283e+38 |  31.753810328116362  | 
      61 31 pg       | 3.2076732249182028e+38 |  29.487234035970825  | 
      22 12 ap       | 3.1388547957233253e+38 |  28.854605652289695  | 
      30 16 ap       | 3.12367253043642e+38 |  28.715039375328118  | 
      26 14 ap       | 3.0972025527236725e+38 |  28.471708345945405  | 
      59 29 pa       | 3.0532028162007943e+38 |  28.06723119462827   | 
      27 15 pg       | 2.9381442762033306e+38 |  27.00953053160988   | 
      59 29 pg       | 2.8329996800233567e+38 |  26.042965954179895  | 
      34 18 ap       | 2.4537275229465165e+38 |  22.55642412935375   | 
      14 6 ag        | 2.3279016548860326e+38 |  21.39974246039313   | 
      31 17 pg       | 2.270128602234377e+38 |  20.86865110380544   | 
      27 15 pg       | 2.0308375178193082e+38 |  18.668915746084167  | 
      66 32 ag       | 1.8992246029670615e+38 |   17.459035390362    | 
      65 33 pg       | 1.885021851173155e+38 |  17.32847350430442   | 
      28 16 ap       | 1.832924461291248e+38 |  16.849556912621306  | 
      14 6 ag        | 1.7592318711254745e+38 |  16.172121743709905  | 
      39 19 pa       | 1.6270229754173298e+38 |  14.956762704298171  | 
      41 20 pg       | 1.5674467659510764e+38 |  14.40909543636684   | 
      35 19 pg       | 1.486514420615447e+38 |  13.665107242852342  | 
      61 31 pg       | 1.4855644496781918e+38 |  13.656374428319799  | 
      50 23 pa       | 1.479632737706486e+38 |  13.60184587541581   | 
      72 34 pg       | 1.4745747456962256e+38 |  13.555349183358775  | 
      76 32 pa       | 1.472261418056638e+38 |  13.534083415704982  | 
      18 10 ap       | 1.4370391633988059e+38 |  13.210295176210437  | 
      18 10 ap       | 1.4177468884147781e+38 |  13.03294674086449   | 
      31 16 pg       | 1.4113185897021787e+38 |  12.973853206298985  | 
      67 33 ag       | 1.4067939035340831e+38 |  12.932259044231134  | 
     108 51 pa       | 1.406731118576452e+38 |  12.931681879847547  | 
      25 14 ap       | 1.4014982264791658e+38 |  12.883577380686292  | 
      35 19 pg       | 1.401357272946202e+38 |  12.882281634666276  | 
      47 25 pg       | 1.4001402676571428e+38 |  12.871094048754241  | 
      28 17 gp       | 1.3442984692446028e+38 |  12.357756166956117  | 
      40 21 ap       | 1.3425980206713704e+38 |  12.342124423468182  | 
     112 51 pa       | 1.3172938139237921e+38 |  12.109509997327732  | 
     106 52 ga       | 1.3159516015928803e+38 |  12.097171418441295  | 
      38 19 ag       | 1.3053411083113503e+38 |  11.999632150351557  | 
      99 47 ag       | 1.2892222179254287e+38 |  11.851455743379196  | 
