# version 2
# time, mass, jx, jy, jz, px, py, pz
9.117049999999999876e-01  4.855819999999999755e+33 -3.179959291712439084e+47 -8.800945899299131648e+46 -4.886508131183978519e+45 -1.353641389862672808e+41  5.148461061446607685e+40 -1.115355651216065419e+41
9.377820083146728436e-01  4.868820005543115209e+33 -3.107791684928897204e+47 -8.614324927826990863e+46 -6.926033887460059573e+45 -1.531082235905542756e+41  7.253372187418522866e+40 -1.182305513995727369e+41
9.657216600803937290e-01  4.888239773386929413e+33 -3.019679134905894700e+47 -8.378358823480902238e+46 -1.018219225811764155e+46 -1.625530801522652710e+41  7.647881610143135482e+40 -1.232835349154795632e+41
9.917986683950665849e-01  4.911249778930044383e+33 -2.928128297115769932e+47 -8.130405312610613456e+46 -1.403313198118042897e+46 -1.637330010117009841e+41  7.410692053368415028e+40 -1.252530019176190744e+41
1.019738320160787470e+00  4.936019160080393485e+33 -2.820546163478923068e+47 -7.832920951135828437e+46 -1.900554505606832192e+46 -1.629739938157160085e+41  7.176768347209189772e+40 -1.275217900418110392e+41
1.049540615377556607e+00  4.962860615377556669e+33 -2.694356995154220675e+47 -7.470094483900451033e+46 -2.527195816892156279e+46 -1.622117143295905209e+41  7.042175738796219664e+40 -1.293116623042437944e+41
1.079342910594325522e+00  4.987941455297162794e+33 -2.555246238779242046e+47 -7.053500409222229032e+46 -3.253830436656365751e+46 -1.609150216749791468e+41  6.926273681471774837e+40 -1.304050026718357279e+41
1.109145205811094437e+00  5.012707602905547613e+33 -2.402395402227160864e+47 -6.589673426478465401e+46 -4.082317135207726031e+46 -1.605448054736687270e+41  6.867148741140708335e+40 -1.304675554495912667e+41
1.140810144478911603e+00  5.038090144478911721e+33 -2.225702811795219340e+47 -6.060873304720781224e+46 -5.059876493012823295e+46 -1.614256952980431256e+41  6.852571135553033148e+40 -1.307878650984095201e+41
1.172475083146728547e+00  5.062235083146728534e+33 -1.887549223325336700e+47 -4.774898484050952259e+46 -6.482985566105509127e+46 -1.626060552881176660e+41  6.727450943481319225e+40 -1.305173235527891362e+41
1.206002665265593743e+00  5.086301332632797152e+33 -2.915572641657469826e+47  1.358247603305537426e+46 -9.674530192715338854e+46 -1.640552177674709382e+41  6.519492480235340226e+40 -1.305153004106401117e+41
1.239530247384458717e+00  5.108450247384458527e+33 -4.314595856196221690e+47  2.830275542261413617e+47 -2.270628281805232298e+47 -1.642045036648190651e+41  6.276406600384863773e+40 -1.310674729713209044e+41
1.274920472954371942e+00  5.131100236477186018e+33 -4.660168882649654722e+47  7.424370192277648820e+47 -4.211565519428718325e+47 -1.636622767610124107e+41  6.102828559483508436e+40 -1.314846217604749824e+41
1.310310698524285167e+00  5.153780000000000077e+33 -3.754094553199882640e+47  1.259721915804078248e+48 -5.466224017151576045e+47 -1.643783460126603856e+41  5.869618266798572713e+40 -1.323294624488326584e+41
1.347563567545246421e+00  5.177711783772623125e+33 -2.952657760472325115e+47  1.875636989158678212e+48 -5.150460550266760418e+47 -1.665250219688169557e+41  5.623636964166936163e+40 -1.332364473145810305e+41
1.388541723468303735e+00  5.203860861734152639e+33 -4.918447710059595705e+47  2.424708608082100503e+48 -2.517490559179045622e+47 -1.685400552635277640e+41  5.549265808659922547e+40 -1.340563841001073628e+41
1.425794592489264989e+00  5.226482296244631735e+33 -7.641185465906209010e+47  2.800808584646272379e+48  1.085515003048795135e+47 -1.698951704900575171e+41  5.524695181707861728e+40 -1.350060718382813378e+41
1.466772748412322303e+00  5.250501374206161019e+33 -9.633768973775500620e+47  3.306796936377310237e+48  4.571225233876804249e+47 -1.707059472421166357e+41  5.458786685464882114e+40 -1.371565185758624350e+41
1.507750904335379616e+00  5.273530452167689748e+33 -1.039582478327009317e+48  3.804199652988390320e+48  6.743625013927317365e+47 -1.715896601668665914e+41  5.425530040086500162e+40 -1.394406898907744896e+41
1.548729060258436929e+00  5.295039530129217754e+33 -1.064018182746386191e+48  4.076175771769671959e+48  8.256338996004348640e+47 -1.721160499873684238e+41  5.373616597492870284e+40 -1.416390834292228926e+41
1.593432503083590301e+00  5.319381251541795533e+33 -9.572010192823477627e+47  4.065849104994237762e+48  8.996749316017525131e+47 -1.730023234678404857e+41  5.278109214630199207e+40 -1.433841018224516698e+41
1.638135945908743896e+00  5.343047972954372359e+33 -7.057013500690811982e+47  3.850790369556721481e+48  8.163299556829072404e+47 -1.729911253853116375e+41  5.178093321587058535e+40 -1.456033744937135451e+41
1.686564675635993549e+00  5.367422337817997062e+33 -4.578496731588326552e+47  3.573209444719002169e+48  5.595260201428051148e+47 -1.732569332632492903e+41  5.111468526419750812e+40 -1.469901561084023954e+41
1.731268118461146921e+00  5.387929059230573144e+33 -3.711068856058704509e+47  3.266158987051706533e+48  2.968371470297469263e+47 -1.734143666872013581e+41  4.963420770409208469e+40 -1.485709587885848032e+41
1.783422135090492633e+00  5.409491067545245935e+33 -4.259038659858082353e+47  2.921380354312513501e+48  2.025257861618188448e+46 -1.725451999294757374e+41  5.059430209782893551e+40 -1.516415866321567676e+41
1.831850864817742286e+00  5.428930000000000381e+33 -4.965037021683580331e+47  2.688237084116127627e+48 -2.299858113253744025e+47 -1.754237296580253197e+41  5.239799317967132874e+40 -1.529868566335734600e+41
1.884004881447087998e+00  5.451539999999999454e+33 -4.958145689358978982e+47  2.460594131152125766e+48 -4.518646607453179234e+47 -1.743358101250418189e+41  5.192072981604676140e+40 -1.531185467790806176e+41
1.936158898076433710e+00  5.475349449038216200e+33 -4.545016666117714505e+47  2.229236322573939647e+48 -6.126908942602013917e+47 -1.752378526923555237e+41  5.140875051883137009e+40 -1.543828180837194925e+41
1.992038201607875481e+00  5.504359100803938207e+33 -4.166074683484355956e+47  1.994979872828877877e+48 -7.285102692360822598e+47 -1.755768557472048531e+41  5.198118001604074453e+40 -1.539693748378796898e+41
2.047917505139317473e+00  5.535708752569658065e+33 -3.903079624133644049e+47  1.782657673002614697e+48 -7.997248466749310232e+47 -1.751985022835022198e+41  5.257373660475035008e+40 -1.560356099511544420e+41
2.103796808670759244e+00  5.561588404335379730e+33 -3.686967577327270388e+47  1.592344723489760946e+48 -8.336305257409892565e+47 -1.758144709116792935e+41  5.280887049559850314e+40 -1.572251536842557751e+41
2.163401399104297074e+00  5.588090000000000025e+33 -3.423837599687114360e+47  1.419574761099062922e+48 -8.354912051663764531e+47 -1.769330041337814723e+41  5.334398154244921533e+40 -1.585622377075195645e+41
2.226731276439931406e+00  5.615080638219966094e+33 -3.283922199265013831e+47  1.268776616875901545e+48 -8.229478275837437968e+47 -1.780852431250093130e+41  5.374996112620408465e+40 -1.594965550613347584e+41
2.290061153775565295e+00  5.640530576887783061e+33 -3.340682748062158302e+47  1.147926865244614817e+48 -8.137428046303807356e+47 -1.792243918765445524e+41  5.418493716296088210e+40 -1.603528886131556658e+41
2.353391031111199183e+00  5.664649999999999823e+33 -3.387000416781899216e+47  1.062403603466324433e+48 -8.117155877804763673e+47 -1.801960515626764286e+41  5.477680498693424273e+40 -1.613205482999473884e+41
2.420446195348929574e+00  5.689128097674463830e+33 -3.330152186095636332e+47  1.007673484656894832e+48 -8.121277392778376793e+47 -1.813912398465432799e+41  5.546514561611424167e+40 -1.623822198076460072e+41
2.487501359586659966e+00  5.712859999999999898e+33 -3.150773913740710891e+47  9.800164999926449036e+47 -8.105990085541296506e+47 -1.826417909587901258e+41  5.603575247177506876e+40 -1.635837800936573915e+41
2.558281810726485972e+00  5.737480000000000480e+33 -2.858753018461229783e+47  9.688777479367140139e+47 -8.065001916095895570e+47 -1.835870676756250361e+41  5.675794546266427892e+40 -1.648599618811905599e+41
2.632787548768408925e+00  5.763198774384203540e+33 -2.441487987794957099e+47  9.593835959493713222e+47 -7.980288518314230044e+47 -1.847895216130353797e+41  5.725978083823407183e+40 -1.661937817547969503e+41
2.703567999908234931e+00  5.787638999954117278e+33 -1.938514967520772382e+47  9.504809897391582163e+47 -7.888542225427326406e+47 -1.856065453519994008e+41  5.804648048143554151e+40 -1.672584905183969591e+41
2.781799024852253499e+00  5.814469512426127127e+33 -1.310778312299158948e+47  9.488525857157850673e+47 -7.747619825116470178e+47 -1.866110913740059928e+41  5.886015879720862611e+40 -1.684669759173694124e+41
