# version 2
# time, mass, jx, jy, jz, px, py, pz
1.528999999999999915e+00  4.749409999999999780e+33  1.991666198599999854e+47 -2.305923348999999889e+47  8.393491330999999965e+46 -8.303634603094744999e+39 -6.312948290177457019e+40 -3.014864815960973612e+40
1.577428773880004798e+00  4.755149999999999853e+33  1.692415454414385163e+47 -1.823412480048772699e+47  2.318223934023569267e+46 -7.252633047356718280e+39 -6.261853484484827513e+40 -3.586575460002107632e+40
1.579058588385581885e+00  4.755259996008791142e+33  1.681217297581981718e+47 -1.812550452372311583e+47  2.171742620160488803e+46 -7.257305776504497014e+39 -6.265176510106170624e+40 -3.602060552869617340e+40
1.582085386753082190e+00  4.755430000000000138e+33  1.661349341084028930e+47 -1.792767507871968603e+47  1.917192642035156493e+46 -7.238905042008860788e+39 -6.262587721232387485e+40 -3.626180862439130318e+40
1.585112185120582495e+00  4.755619994886798111e+33  1.640294295239515053e+47 -1.770474515179060611e+47  1.663733304695918856e+46 -7.306416291075293707e+39 -6.268312601801264724e+40 -3.649126280331866117e+40
1.588371814131736670e+00  4.755810000000000030e+33  1.616668198599999886e+47 -1.743751349000000001e+47  1.392831330999999592e+46 -7.429282904558217510e+39 -6.281926434656468024e+40 -3.669894051081459615e+40
1.591864273786544715e+00  4.756019999999999956e+33  1.593048336423321056e+47 -1.713884462501558523e+47  1.122753862264917973e+46 -7.452779698432285756e+39 -6.280697541566118382e+40 -3.699046666026839158e+40
1.595356733441352759e+00  4.756219999999999747e+33  1.572514172168690099e+47 -1.683232288093068718e+47  8.755608483412982878e+45 -7.412274248836647306e+39 -6.262811939983794101e+40 -3.730318649081062058e+40
1.599314854383468543e+00  4.756439999999999806e+33  1.552303692387195076e+47 -1.647710065383327551e+47  6.114565823876320462e+45 -7.409631619803264506e+39 -6.252346431093850868e+40 -3.762514853386389524e+40
1.603272975325584326e+00  4.756659991520819060e+33  1.535180380054465055e+47 -1.613693540629481844e+47  3.479736712538493851e+45 -7.433525512487093532e+39 -6.241228321094440755e+40 -3.794486923573020253e+40
1.607696757555007849e+00  4.756900000000000192e+33  1.518232325497398978e+47 -1.576800728233605878e+47  5.363653816912943843e+44 -7.282350474292130350e+39 -6.238261060453307857e+40 -3.840249305972627723e+40
1.612353370428085242e+00  4.757129999999999808e+33  1.502888405908267542e+47 -1.543589515659587585e+47 -2.226162402413723150e+45 -7.184360893020959248e+39 -6.254287991272459919e+40 -3.890296350285016660e+40
1.617009983301162634e+00  4.757349999999999867e+33  1.488643225570630444e+47 -1.516778357607647849e+47 -4.813379000501045767e+45 -7.119840118148685978e+39 -6.287249564674425652e+40 -3.938323523896073738e+40
1.622132257461547766e+00  4.757589992703524891e+33  1.469432455435937417e+47 -1.488672562057084511e+47 -7.676952323600418387e+45 -6.980379195686795333e+39 -6.324744867355390399e+40 -3.996638747654695957e+40
1.627720192909240637e+00  4.757869997563312984e+33  1.442517264146881173e+47 -1.454960440863101266e+47 -1.097198322990440777e+46 -7.221913715365395738e+39 -6.357132159439889269e+40 -4.033018046209745312e+40
1.633308128356933508e+00  4.758160022130505575e+33  1.411311324445021161e+47 -1.419021474845021077e+47 -1.447265662239829724e+46 -7.406677318546537046e+39 -6.364965020747439610e+40 -4.062787876388804271e+40
1.639361725091934119e+00  4.758490000000000121e+33  1.378153407344114724e+47 -1.376966339713579726e+47 -1.828889709823046920e+46 -7.463966932953555156e+39 -6.363834933644737751e+40 -4.093389694222757986e+40
